	Treatment	Tissue	Time	Cultivar	Area	Pos	Concat	Concat1	Concat2	Description
peat.1.2B110	peat	peat	t0dpi	peat	peat	peat	Peat0dpiNOB	t0dpipeat	peatpeat	mr2B110
peat.1.3B111	peat	peat	t0dpi	peat	peat	peat	Peat0dpiNOB	t0dpipeat	peatpeat	mr2B111
peat.1.4B112	peat	peat	t0dpi	peat	peat	peat	Peat0dpiNOB	t0dpipeat	peatpeat	mr2B112
peat.1.5B113	peat	peat	t0dpi	peat	peat	peat	Peat0dpiNOB	t0dpipeat	peatpeat	mr2B113
peat.1.6B114	peat	peat	t0dpi	peat	peat	peat	Peat0dpiNOB	t0dpipeat	peatpeat	mr2B114
peat.2.1B115	peat	peat	t8dpi	peat	peat	peat	Peat8dpiNOB	t8dpipeat	peatpeat	mr2B115
peat.2.2B116	peat	peat	t8dpi	peat	peat	peat	Peat8dpiNOB	t8dpipeat	peatpeat	mr2B116
peat.2.3B117	peat	peat	t8dpi	peat	peat	peat	Peat8dpiNOB	t8dpipeat	peatpeat	mr2B117
peat.2.4B118	peat	peat	t8dpi	peat	peat	peat	Peat8dpiNOB	t8dpipeat	peatpeat	mr2B118
peat.2.5B119	peat	peat	t8dpi	peat	peat	peat	Peat8dpiNOB	t8dpipeat	peatpeat	mr2B119
peat.2.6B120	peat	peat	t8dpi	peat	peat	peat	Peat8dpiNOB	t8dpipeat	peatpeat	mr2B120
